Dataset Length Time sMAPE Euclidean diff_Euclidean DTW diff_DTW
SemgHandSubjectCh2 1450 5457.302002906799 137.11604030573923 5.9316412819357565 6.1969935779578424 15.60303644020316 13.594650639282408
CricketY 250 777.9334926605225 200.0 5.047914005996602 1.0871353176598417 19.24801329701088 0.5874714074936641
PigAirwayPressure 1950 2548.761564731598 4.101286466590714 0.2558415659392041 0.0472749245817032 0.0038577651731033138 0.001990263426935744
CricketZ 250 613.204519033432 9.455136481091769 0.7076961534041335 0.5103475991399443 0.38512055102977194 0.14298214451257601
CricketX 250 559.9072036743164 74.64993148971482 4.375338689902602 0.6109888164156048 18.784461516237208 0.34664448457893526
ShapeletSim 450 1836.7005486488342 132.9126270090718 8.181925955150104 11.467735365910634 31.513251954290656 54.005194257068524
DodgerLoopDay 167 803.5034780502319 175.06837544635846 12.064261546893029 5.435077696847545 96.16662430378568 12.190669740822834
BirdChicken 462 437.6240305900574 175.3579329590144 18.482458528234627 0.6300566190042148 341.60127324791284 0.09346890443894668
InsectWingbeatSound 206 306.9058995246887 141.76991727098294 5.377474595567843 0.1776019132071601 28.09055490371312 0.009193958101589586
ChlorineConcentration 116 460.8646924495697 161.1275042041048 7.947022772181433 7.182256907487132 16.877527297081734 17.960897324866885
Phoneme 974 1676.1541924476624 105.32822822959204 0.0501292279833858 0.014345439961218363 0.0011589729868011088 0.00018436595651908573
ToeSegmentation2 293 322.7052617073059 142.60094542164993 7.050984596332061 1.2831638112598014 43.85967380561284 1.500653446941365
FaceFour 300 601.6788599491119 163.6251196893678 11.439825920677599 3.1383866210992437 37.21875310349476 3.148498827580231
Computers 670 1066.0916628837585 4.3262394194064155 0.2317353447361154 0.2128214606601302 0.044385394381083874 0.0444468856286172
FordA 450 470.9337341785431 120.34114768102788 13.632204302160158 3.8226904782542355 95.43717113326599 12.19543664416406
Car 527 864.6009492874146 153.87263829969237 14.26162124172592 0.5450686064581064 202.59100611208447 0.07158487851448184
Ham 381 949.3334465026855 121.83635959320861 9.31203607803289 1.0331733004994883 83.15532381618186 1.031842887840486
InsectEPGSmallTrain 551 1129.2718493938446 4.027705435765415 0.34431077434700713 0.401155665322554 0.10296483052174259 0.14554993435826175
PLAID 451 870.4259881973267 21.033810082824495 2.29316348547036 2.359925310983527 5.2585987710945705 5.569247473420696
PigArtPressure 1950 3355.8370430469513 88.8825243314217 5.068061043779292 0.3990280744209486 8.458894469706848 0.09578397461865348
GesturePebbleZ2 165 193.96975874900818 59.09140564405524 3.7390782458840524 1.146132879867968 13.943839571915046 1.309821315809258
InsectEPGRegularTrain 551 999.8270397186279 4.924313853543258 0.4251581107817276 0.41288736562642286 0.16746119165024306 0.17006115304748665
